Project,Client,Description,Duration
American Specialties,Silk Software,Ticket [ASI - InforCPQ],00:01:00
Astrodyne,Silk Software,Management [Emai - AstrodyneTDI],00:01:45
Astrodyne,Silk Software,Management [Email - AstrodyneTDI],00:00:52
Canarm,Silk Software,Ticket [Canarm],00:03:37
CMC Rescue,Silk Software,Ticket [CMC Rescue],00:10:09
Internal,Silk Software,Management [Email],00:03:33
Internal,Silk Software,Management [Skype Check-in],00:00:47
Internal,Silk Software,Meeting [James/Sandy],00:15:05
Internal,Silk Software,Meeting [Sokrati],00:31:11
MISC,Silk Software,Misc.,02:38:33
MISC,Silk Software,Morning Routine,00:16:05
P&R Electrical,Silk Software,Ticket [P&R Electrical],00:04:28
Pacific Research Laboratory,Silk Software,Management [Email - Pacific Research Lab],00:04:22
Pacific Research Laboratory,Silk Software,Meeting [Sawbones],00:10:23
SKC,Silk Software,Management [Email - SKC],00:06:12
SKC,Silk Software,Meeting [SKC],00:36:26
SKC,Silk Software,Ticket [SKC],00:41:06
Tanner Bolt,Silk Software,Ticket [Tanner Bolt - Montauk],00:01:25
Tanner Bolt,Silk Software,Ticket [Tanner Bolt],00:02:46
Travis Tile,Silk Software,Ticket [Travis Tile],00:01:48
Vibration Mountings & Controls,Silk Software,Ticket [Vibration Mounts],00:07:26
Wenger,Silk Software,Ticket [Wenger],00:00:38
